url_length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,phishing
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,1,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1
52,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
78,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1
43,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
263,14,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1
89,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
171,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
132,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
141,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1
35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,3,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
78,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2,1,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,5,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,3,1,4,0,1,4,0,3,0,0,0,0,0,0,0,0,7,1
144,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
63,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,3,8,1,0,1,4,0,3,0,3,0,0,0,0,0,0,11,1
38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,5,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
77,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
44,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,5,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
62,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
61,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
109,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,5,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
51,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
